Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-14,"Ad - AEF FB Video 78 V2",220.16,"Website purchases",8,7823,87,1775,227.98,3,57,5947,https://www.facebook.com/?feed_demo_ad=120222143339200595&h=AQCjGXMc_rFBxWVNl6I,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Video 77 V2 - WE",217.5,"Website purchases",13,8503,151,2266,304.67,4,353,8411,https://www.facebook.com/?feed_demo_ad=120221877835340595&h=AQC5RQJdPzIFo3KxUc4,2025-08-14,2025-08-14
2025-08-12,"Ad - AEF FB Image 35 V15 - WE",216.04,"Website purchases",118,38737,248,,678.07,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Video 54 V3 - RE 3 - WE",214.22,"Website purchases",10,11824,115,1710,152.02,3,511,11690,https://www.facebook.com/?feed_demo_ad=120214628615910595&h=AQBE-dTqU01IJ8XR16k,2025-08-18,2025-08-18
2025-08-13,"Ad - AEF FB Video 60 V3",213.62,"Website purchases",2,7078,71,1355,35.76,3,91,5324,https://www.facebook.com/?feed_demo_ad=120216561636830595&h=AQDN0ytpjGJ9qI6gQGg,2025-08-13,2025-08-13
2025-08-14,"Ad - AEF FB Video 69 V4 - WE",213.38,"Website purchases",97,32610,212,2559,1209.99,2,92,11729,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Video 60 V3 - WE",212.81,"Website purchases",115,40821,249,3181,1087.24,3,169,8886,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-14,2025-08-14
2025-08-13,"Ad - AEF FB Video 86 V2",212.5,"Website purchases",16,8984,123,2306,274.1,3,248,7518,https://www.facebook.com/?feed_demo_ad=120232132086800595&h=AQDnZkNQqKJGV4CWry4,2025-08-13,2025-08-13
2025-08-13,"Ad - AEF FB Video 46 V3 - RE 5 - WE",211.54,"Website purchases",15,8033,103,1656,520.89,3,241,6856,https://www.facebook.com/?feed_demo_ad=120213026503340595&h=AQBqLkA_DNp_yNcyBSI,2025-08-13,2025-08-13
2025-08-12,"Ad - AEF FB Video 60 V3 - WE",209.82,"Website purchases",123,38826,209,3371,672.5,3,194,9514,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-12,2025-08-12
2025-08-14,"Ad - AEF FB Video 83 V5 - WE",209.02,"Website purchases",7,5959,78,1181,188.83,3,123,5367,https://www.facebook.com/?feed_demo_ad=120229565584280595&h=AQBiQDKT3zu-Z7m4Dww,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Image 35 V15 - WE",208.67,"Website purchases",146,58929,193,,1314.8,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-14,2025-08-14
2025-08-17,"Ad - AEF FB Video 60 V3 - WE",208.08,"Website purchases",77,43574,247,2801,822.94,3,181,8345,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-17,2025-08-17
2025-08-14,"Ad - AEF FB Video 84 V4",207.26,"Website purchases",14,5522,71,1252,273.04,3,75,4873,https://www.facebook.com/?feed_demo_ad=120230050032320595&h=AQANlaovdYwbF5y8BNE,2025-08-14,2025-08-14
2025-08-12,"Ad - AEF FB Video 69 V4 - WE",207.18,"Website purchases",88,23333,229,2911,421.69,2,89,13294,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-12,2025-08-12
2025-08-14,"Ad - AEF FB Video 87 V1",206.97,"Website purchases",3,5218,60,984,102.61,3,43,4451,https://www.facebook.com/?feed_demo_ad=120232555466160595&h=AQAbP6TlxwxUeRRbVII,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Video 77 V00 - WE",205.04,"Website purchases",8,7759,105,1945,368.26,4,329,7657,https://www.facebook.com/?feed_demo_ad=120221877863120595&h=AQDl86fbESMEFA7lYwg,2025-08-14,2025-08-14
2025-08-12,"Ad - AEF FB Image 82 - V21",204.86,"Website purchases",8,9284,110,,274.12,,,,https://www.facebook.com/?feed_demo_ad=120235309548450595&h=AQDg8cmgIsxUijdazJU,2025-08-12,2025-08-12
2025-08-15,"Ad - AEF FB Video 77 V1",204.58,"Website purchases",5,7534,113,1856,149.96,4,241,6983,https://www.facebook.com/?feed_demo_ad=120221877749140595&h=AQAu79NS-cnSHc4Vu2Y,2025-08-15,2025-08-15
2025-08-17,"Ad - AEF FB Image 35 V15 - WE",204.17,"Website purchases",66,52636,247,,959.84,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-17,2025-08-17
2025-08-17,"Ad - AEF FB Video 69 V4 - WE",203.01,"Website purchases",44,25430,195,2595,694.72,2,85,12116,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-17,2025-08-17
2025-08-15,"Ad - AEF FB Video 77 V5",200.07,"Website purchases",3,6658,80,1820,104.33,4,237,6522,https://www.facebook.com/?feed_demo_ad=120221877843150595&h=AQDuUKvFswVD-IgGSBE,2025-08-15,2025-08-15
2025-08-14,"Ad - AEF FB Image 84 - V3",199.54,"Website purchases",8,8536,76,,325.1,,,,https://www.facebook.com/?feed_demo_ad=120235309548460595&h=AQBKthK1pp2o89XHZ8I,2025-08-14,2025-08-14
2025-08-18,"Ad - AEF FB Video 60 V3 - WE",199.24,"Website purchases",99,29527,203,3166,789.86,3,184,9685,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-18,2025-08-18
2025-08-12,"Ad - AEF FB Video 81 V1 - LP",197.13,"Website purchases",2,5998,75,2082,9.25,4,320,5711,https://www.facebook.com/?feed_demo_ad=120226020179190595&h=AQB_jeL1vEeTXxqzSoU,2025-08-12,2025-08-12
2025-08-15,"AEF FB Video 87 V4",196.74,"Website purchases",2,5681,43,1197,28.28,3,26,4870,https://www.facebook.com/?feed_demo_ad=120232555885320595&h=AQA_pBGKt1t5Zbu-17c,2025-08-15,2025-08-15
2025-08-12,"Ad - AEF FB Video 67 V003 - WE",196.46,"Website purchases",12,7211,66,1471,211.92,3,72,6587,https://www.facebook.com/?feed_demo_ad=120217727159680595&h=AQB4mg2sCd4jQrl97ZA,2025-08-12,2025-08-12
2025-08-15,"Ad - AEF FB Video 88 V1",195.5,"Website purchases",9,9085,68,1369,207.52,2,251,8911,https://www.facebook.com/?feed_demo_ad=120233551784620595&h=AQCZTKPbuFZL_Ec0MN8,2025-08-15,2025-08-15
2025-08-18,"Ad - AEF FB Image 35 V15 - WE",195.33,"Website purchases",115,49076,160,,958.01,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-18,2025-08-18
2025-08-18,"Ad - AEF FB Video 69 V4 - WE",195.31,"Website purchases",45,20846,173,2340,382.57,2,67,11428,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-18,2025-08-18
2025-08-18,"Ad - AEF FB Video 88 V2 - LP",194.89,"Website purchases",14,6498,69,1507,556.1,3,218,6089,https://www.facebook.com/?feed_demo_ad=120233551848620595&h=AQB3JdeupHyfQof7jxI,2025-08-18,2025-08-18
2025-08-14,"Ad - AEF FB Video 88 V5.1 - WE",193.95,"Website purchases",10,10360,65,1785,180.61,3,304,10128,https://www.facebook.com/?feed_demo_ad=120233552069160595&h=AQC8ppds8N8oIc4mv_w,2025-08-14,2025-08-14
2025-08-13,"Ad - AEF FB Video 81 V1 - LP",193.59,"Website purchases",5,6247,67,2213,170.48,5,345,5855,https://www.facebook.com/?feed_demo_ad=120226020179190595&h=AQB_jeL1vEeTXxqzSoU,2025-08-13,2025-08-13
2025-08-14,"Ad - AEF FB Video 61 V3",192.92,"Website purchases",6,5748,93,957,93.58,4,95,3378,https://www.facebook.com/?feed_demo_ad=120216796232030595&h=AQC-GtnxTdJd-QFkdT4,2025-08-14,2025-08-14
2025-08-13,"Ad - AEF FB Video 86 V2",189.81,"Website purchases",11,8383,77,1762,181.24,3,290,7908,https://www.facebook.com/?feed_demo_ad=120232135856360595&h=AQAZKCtMrrIvRlqSBUc,2025-08-13,2025-08-13
2025-08-15,"Ad - AEF FB Video 81 V5",187.15,"Website purchases",8,5419,57,1792,178.78,4,219,5022,https://www.facebook.com/?feed_demo_ad=120226021642580595&h=AQAIOX8YfuoDgXMJwIY,2025-08-15,2025-08-15
2025-08-14,"Ad - AEF FB Video 67 V2",185.98,"Website purchases",10,8400,66,2056,216.86,3,51,7409,https://www.facebook.com/?feed_demo_ad=120217727199490595&h=AQAjIyv5Dd-6zz_G02U,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Video 75 V5 - WE",185.93,"Website purchases",7,6650,77,1598,240.9,3,223,6517,https://www.facebook.com/?feed_demo_ad=120220006713230595&h=AQCXc90qhJUdsQiAwKI,2025-08-14,2025-08-14
2025-08-13,"Ad - AEF FB Video 69 V4 - WE",184.71,"Website purchases",97,30344,183,2489,817.53,2,88,11416,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-13,2025-08-13
2025-08-13,"Ad - AEF FB Video 60 V3 - WE",184.28,"Website purchases",153,41934,200,3093,1557.1,3,190,8945,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-13,2025-08-13
2025-08-15,"Ad - AEF FB Video 73 V4 - LP",183.59,"Website purchases",3,8928,85,2271,23.2,4,297,8555,https://www.facebook.com/?feed_demo_ad=120219003044700595&h=AQD15g7LT4yp_hJut7I,2025-08-15,2025-08-15
2025-08-18,"Ad - AEF FB Video 60 V3",182.68,"Website purchases",5,5281,77,1337,178.94,4,95,4601,https://www.facebook.com/?feed_demo_ad=120216561636830595&h=AQDN0ytpjGJ9qI6gQGg,2025-08-18,2025-08-18
2025-08-13,"Ad - AEF FB Image 35 V15 - WE",182.48,"Website purchases",130,52210,197,,897.87,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-13,2025-08-13
2025-08-15,"Ad - AEF FB Video 77 V2 - WE",182.08,"Website purchases",3,6947,86,1833,188.15,4,251,6708,https://www.facebook.com/?feed_demo_ad=120221877835340595&h=AQC5RQJdPzIFo3KxUc4,2025-08-15,2025-08-15
2025-08-13,"Ad - AEF FB Video 69 V4",182,"Website purchases",14,11078,53,2116,166.73,2,60,9889,https://www.facebook.com/?feed_demo_ad=120218111850670595&h=AQCGTLO0yLywWFk_CU4,2025-08-13,2025-08-13
2025-08-18,"Ad - AEF FB Video 68 V1 - LP",181.94,"Website purchases",4,8511,68,1737,124.1,3,133,6143,https://www.facebook.com/?feed_demo_ad=120217978673470595&h=AQAf3eXwI1UagGrzARs,2025-08-18,2025-08-18
2025-08-12,"Ad - AEF FB Video 39",181.25,"Website purchases",6,9784,119,3628,36.26,4,391,9488,https://www.facebook.com/?feed_demo_ad=120210607797360595&h=AQAJGSNry_S9hHjWqfY,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Video 86 V00",180.15,"Website purchases",9,7397,67,1749,166.95,3,230,7042,https://www.facebook.com/?feed_demo_ad=120232132165280595&h=AQCKxYHZ3KAOR4vXqTg,2025-08-18,2025-08-18
2025-08-18,"Ad - AEF FB Video 39",180.04,"Website purchases",6,11113,96,4311,163.7,4,432,10945,https://www.facebook.com/?feed_demo_ad=120210607797360595&h=AQAJGSNry_S9hHjWqfY,2025-08-18,2025-08-18
2025-08-12,"Ad - AEF FB Video 88 V5.1 - WE",179.15,"Website purchases",7,9355,91,1435,242.14,3,284,9226,https://www.facebook.com/?feed_demo_ad=120233552069160595&h=AQC8ppds8N8oIc4mv_w,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Video 84 V4",176.73,"Website purchases",10,4797,74,1119,382.88,3,59,4340,https://www.facebook.com/?feed_demo_ad=120230050032320595&h=AQANlaovdYwbF5y8BNE,2025-08-18,2025-08-18
2025-08-18,"Ad - AEF FB Video 88 V5.1 - WE",175.08,"Website purchases",6,9628,64,1511,253.2,2,265,9483,https://www.facebook.com/?feed_demo_ad=120233552069160595&h=AQC8ppds8N8oIc4mv_w,2025-08-18,2025-08-18
2025-08-14,"Ad - AEF FB Video 39",174.62,"Website purchases",6,9978,125,3994,110.62,4,402,9827,https://www.facebook.com/?feed_demo_ad=120210607797360595&h=AQAJGSNry_S9hHjWqfY,2025-08-14,2025-08-14
2025-08-15,"Ad - AEF FB Video 84 V4",173.01,"Website purchases",5,4837,73,1030,234.39,3,47,4324,https://www.facebook.com/?feed_demo_ad=120230050032320595&h=AQANlaovdYwbF5y8BNE,2025-08-15,2025-08-15
2025-08-12,"Ad - AEF FB Video 77 V2 - WE",170.12,"Website purchases",10,6731,116,1753,347.68,4,285,6628,https://www.facebook.com/?feed_demo_ad=120221877835340595&h=AQC5RQJdPzIFo3KxUc4,2025-08-12,2025-08-12
2025-08-13,"Ad - AEF FB Video 39",169.65,"Website purchases",7,9428,95,3549,341.76,4,391,9271,https://www.facebook.com/?feed_demo_ad=120210607797360595&h=AQAJGSNry_S9hHjWqfY,2025-08-13,2025-08-13
2025-08-13,"Ad - AEF FB Video 86 V6",166.74,"Website purchases",7,7468,58,1485,169.55,3,293,7355,https://www.facebook.com/?feed_demo_ad=120232135856370595&h=AQAXj4fiWqItRgoskkw,2025-08-13,2025-08-13
2025-08-12,"Ad - AEF FB Video 84 V4",164.34,"Website purchases",6,4673,78,997,200.1,3,81,3988,https://www.facebook.com/?feed_demo_ad=120230050032320595&h=AQANlaovdYwbF5y8BNE,2025-08-12,2025-08-12
2025-08-15,"Ad - AEF FB Video 88 V5.1 - WE",161.41,"Website purchases",7,8168,51,1216,224.76,3,215,8005,https://www.facebook.com/?feed_demo_ad=120233552069160595&h=AQC8ppds8N8oIc4mv_w,2025-08-15,2025-08-15
2025-08-12,"Ad - AEF FB Image 84 - V3",160.82,"Website purchases",4,7675,69,,127.52,,,,https://www.facebook.com/?feed_demo_ad=120235309548460595&h=AQBKthK1pp2o89XHZ8I,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Video 77 V00 - WE",160.03,"Website purchases",9,6455,119,1657,144.45,4,260,6364,https://www.facebook.com/?feed_demo_ad=120221877863120595&h=AQDl86fbESMEFA7lYwg,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Video 77 V6",158.12,"Website purchases",5,6627,88,1683,73.76,4,233,6559,https://www.facebook.com/?feed_demo_ad=120221877998030595&h=AQB0TWH2eg9CAJ35AOc,2025-08-18,2025-08-18
2025-08-17,"Ad - AEF FB Video 77 V00 - WE",156.95,"Website purchases",9,6377,98,1520,234.08,4,254,6263,https://www.facebook.com/?feed_demo_ad=120221877863120595&h=AQDl86fbESMEFA7lYwg,2025-08-17,2025-08-17
2025-08-14,"Ad - AEF FB Video 76 V1 - LP",156.26,"Website purchases",4,3445,57,669,132.47,3,63,2815,https://www.facebook.com/?feed_demo_ad=120220923085450595&h=AQCZt5mU2x9QUM_Qa4A,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Image 40 - V14",156.25,"Website purchases",5,3442,48,,171.64,,,,https://www.facebook.com/?feed_demo_ad=120224925345120595&h=AQCAKocABZZJO2Vq5qI,2025-08-14,2025-08-14
2025-08-15,"Ad - AEF FB Image 35 V15 - WE",155.14,"Website purchases",115,32607,130,,752.49,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-15,2025-08-15
2025-08-18,"Ad - AEF FB Video 75 V5 - WE",154.37,"Website purchases",6,5786,50,1397,169.45,3,177,5645,https://www.facebook.com/?feed_demo_ad=120220006713230595&h=AQCXc90qhJUdsQiAwKI,2025-08-18,2025-08-18
2025-08-15,"Ad - AEF FB Video 69 V4 - WE",152.57,"Website purchases",75,16367,166,1873,688,2,51,9004,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-15,2025-08-15
2025-08-12,"Ad - AEF FB Video 75 V5 - WE",150.33,"Website purchases",5,5342,59,1202,69.15,3,157,5249,https://www.facebook.com/?feed_demo_ad=120220006713230595&h=AQCXc90qhJUdsQiAwKI,2025-08-12,2025-08-12
2025-08-13,"Ad - AEF FB Video 63 V1",150.3,"Website purchases",6,3368,52,828,231.79,4,47,2889,https://www.facebook.com/?feed_demo_ad=120217134252620595&h=AQDTmFw6bXiYzevWddI,2025-08-13,2025-08-13
2025-08-15,"Ad - AEF FB Video 60 V3 - WE",149.22,"Website purchases",106,23561,141,2021,495.14,4,132,6364,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-15,2025-08-15
2025-08-15,"Ad - AEF FB Video 39",149.22,"Website purchases",4,8966,88,3445,160.05,4,339,8866,https://www.facebook.com/?feed_demo_ad=120210607797360595&h=AQAJGSNry_S9hHjWqfY,2025-08-15,2025-08-15
2025-08-14,"Ad - AEF FB Video 88 V6",148.76,"Website purchases",6,7798,50,1201,372.39,3,225,7698,https://www.facebook.com/?feed_demo_ad=120233552445520595&h=AQAePHgkuqVp_WtctNc,2025-08-14,2025-08-14
2025-08-18,"Ad - AEF FB Image 63 - V7",148.04,"Website purchases",4,3766,53,,168.05,,,,https://www.facebook.com/?feed_demo_ad=120230579001370595&h=AQAYrMhYKRrywI-lvzQ,2025-08-18,2025-08-18
2025-08-15,"Ad - AEF FB Image 71 - V1 - WE",147.34,"Website purchases",5,6356,51,,237.2,,,,https://www.facebook.com/?feed_demo_ad=120232557880880595&h=AQBLKtPuGGIRRqsje-Y,2025-08-15,2025-08-15
2025-08-14,"Ad - AEF FB Video 67 V2 - WE",145.92,"Website purchases",7,6697,54,1630,149.24,3,46,6000,https://www.facebook.com/?feed_demo_ad=120217727209840595&h=AQA6puOn_TibnfRl154,2025-08-14,2025-08-14
2025-08-14,"Ad - AEF FB Video 78 V1",143.8,"Website purchases",1,4924,38,856,3,3,37,3914,https://www.facebook.com/?feed_demo_ad=120222143318900595&h=AQA7lT5UxBAI7PcESbk,2025-08-14,2025-08-14
2025-08-12,"Ad - AEF FB Video 81 V5",143.49,"Website purchases",4,4808,50,1676,98,4,225,4518,https://www.facebook.com/?feed_demo_ad=120226021642580595&h=AQAIOX8YfuoDgXMJwIY,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Video 77 V2",143.03,"Website purchases",10,5236,92,1403,242.67,4,255,5147,https://www.facebook.com/?feed_demo_ad=120221877998040595&h=AQCCF_hwnHDgGBakUoI,2025-08-12,2025-08-12
2025-08-13,"Ad - AEF FB Video 89 V2",142.57,"Website purchases",5,6016,62,1111,165.47,3,38,5141,https://www.facebook.com/?feed_demo_ad=120234565341160595&h=AQAIONGnBstZiZiqvN8,2025-08-13,2025-08-13
2025-08-18,"Ad - AEF FB Image 58 - V18",141.93,"Website purchases",5,11191,72,,173.43,,,,https://www.facebook.com/?feed_demo_ad=120229193169600595&h=AQBL6YUKjX6WPA2omzk,2025-08-18,2025-08-18
